benchmarks/INST_36x36/40/inst36x36_40_0.txt find answer: 0.330000
     1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
  1 29  2 30 24 36  1 17  7  8 10 19 21 18 28 35  5 26 32 13 15  9 22 34  4 12  3 20 27 33 25 23 14 11 16  6 31
  2 11 14 15 10 13 28 26 18 31 25  1 20 33 36 24  2  7 23  3 27 35  6  8 16 30 17 22  5 21 29 12  4 32 19 34  9
  3  3 27 22 16 12 20 11  6 13 34  9 36 14 31 10 25 21  4 26 24  2 32  7 29 18  1 19 23  8 28 35 15 33 17  5 30
  4 35 18 31 26 25  7 33 12  3 15 32 27  8 13 30 22  9 19 36 23 10 17 11  5 16  6 24 34 14  4 29  1 20 28  2 21
  5 23  9 33  5 34 32  4 30 22  2 24 35 16 29  6 12 20 17 25 14 21 19  1 28  7 26 11 15 31 10 13 27  8 36 18  3
  6 17  8  4 19  6 21 23 28 14 16  5 29 11  3  1 27 34 15 20 18 12 33 31 30  9 35  2 13 36 32  7 10 26 22 25 24
  7 33 25 29  9 15 31 10 14  7 28  6 11  3 30 21 19 35 27  1  8 34 26 32 13 20  4 17 12  2 36 22  5 16 18 24 23
  8 24 35 19 12  7 27 32 22 29 36 26  1 31 25 16  8  5 10  2  6 18 11 23 20 34 21 15  9 13  3 28 33 14 30 17  4
  9 13 10  3 17 16 22 18 35 24  4  8 15  7 23 29 14 36 20 21 31  5 12 30  9 28 32 33 25 19  6 26  2 27 34  1 11
 10  8  5 26  2 11 14 31 13 33 21 12 16 32  6 28 24 17 34 15  4 25 27 10  7 29 22  1 30 18 23 20 36  3  9 19 35
 11 20 28 34 23  1 36 27  3  2  9 30 19 15 12 11  4 22 18 33 29 16 14 17 35  8 10 26  7  5 24 31 25 13 21 32  6
 12 18  4 21  6 32 30 20  5 17 23 34 25 13  1 26  9 33  2 22 36  3 28 19 24 14 11 35 16 27 31  8  7 29 12 10 15
 13  6 32 18 13  5 25 30 11  4 14 28  2  9 26 15 10 27 33 23 12  7 29 22 36 21 31 34 35 16  1  3 24 17  8 20 19
 14 12 15 16 36 19 11 24 33 27 13 17  5 22  7 31 23  3 35 18 25  4 21 28 26 32  2  8 20  9 30  6 29 34 10 14  1
